eta,phi_promedio,phi_std,phi_min,phi_max,pasos_termal,pasos_medicion,N,L,dt
2.0,0.165244,0.023005,0.097403,0.238011,3000,1500,150,20.0,0.03
1.897368,0.113878,0.023618,0.045069,0.18375,3000,1500,150,20.0,0.03
1.794737,0.180836,0.031268,0.067423,0.256944,3000,1500,150,20.0,0.03
1.692105,0.174942,0.022888,0.09785,0.245964,3000,1500,150,20.0,0.03
1.589474,0.169969,0.023891,0.100787,0.247351,3000,1500,150,20.0,0.03
1.486842,0.22731,0.022912,0.147516,0.292166,3000,1500,150,20.0,0.03
1.384211,0.138979,0.037431,0.055465,0.241224,3000,1500,150,20.0,0.03
1.281579,0.232425,0.022273,0.162404,0.292567,3000,1500,150,20.0,0.03
1.178947,0.198785,0.035695,0.118988,0.301661,3000,1500,150,20.0,0.03
1.076316,0.284893,0.025075,0.207665,0.371975,3000,1500,150,20.0,0.03
0.973684,0.115097,0.020926,0.054188,0.186898,3000,1500,150,20.0,0.03
0.871053,0.243735,0.021788,0.170124,0.318034,3000,1500,150,20.0,0.03
0.768421,0.113837,0.022038,0.048622,0.184022,3000,1500,150,20.0,0.03
0.665789,0.116115,0.024191,0.034862,0.197581,3000,1500,150,20.0,0.03
0.563158,0.230252,0.025867,0.151274,0.318268,3000,1500,150,20.0,0.03
0.460526,0.224515,0.03772,0.110978,0.29523,3000,1500,150,20.0,0.03
0.357895,0.113597,0.022796,0.033648,0.178404,3000,1500,150,20.0,0.03
0.255263,0.203332,0.031353,0.093132,0.289276,3000,1500,150,20.0,0.03
0.152632,0.160786,0.023094,0.074886,0.231527,3000,1500,150,20.0,0.03
0.05,0.193905,0.034658,0.105715,0.32031,3000,1500,150,20.0,0.03
