eta,phi_promedio,phi_std,phi_min,phi_max,pasos_termal,pasos_medicion,N,L,R,v
2.0,0.694096,0.059176,0.51715,0.817849,500,300,150,20.0,2.0,0.5
1.897368,0.74366,0.05845,0.498748,0.844438,500,300,150,20.0,2.0,0.5
1.794737,0.765424,0.064446,0.559657,0.859801,500,300,150,20.0,2.0,0.5
1.692105,0.787011,0.039368,0.659095,0.865529,500,300,150,20.0,2.0,0.5
1.589474,0.80587,0.038985,0.686645,0.875427,500,300,150,20.0,2.0,0.5
1.486842,0.811948,0.053506,0.642512,0.913557,500,300,150,20.0,2.0,0.5
1.384211,0.864604,0.022641,0.78979,0.917419,500,300,150,20.0,2.0,0.5
1.281579,0.8706,0.02564,0.784579,0.926788,500,300,150,20.0,2.0,0.5
1.178947,0.884204,0.026308,0.818099,0.936349,500,300,150,20.0,2.0,0.5
1.076316,0.902992,0.025381,0.813327,0.946989,500,300,150,20.0,2.0,0.5
0.973684,0.922538,0.019059,0.851442,0.954564,500,300,150,20.0,2.0,0.5
0.871053,0.938394,0.014731,0.895527,0.963035,500,300,150,20.0,2.0,0.5
0.768421,0.954731,0.012598,0.901425,0.973166,500,300,150,20.0,2.0,0.5
0.665789,0.966293,0.005774,0.949369,0.97811,500,300,150,20.0,2.0,0.5
0.563158,0.967421,0.01357,0.924323,0.986961,500,300,150,20.0,2.0,0.5
0.460526,0.984019,0.003578,0.969743,0.990014,500,300,150,20.0,2.0,0.5
0.357895,0.986372,0.007373,0.961056,0.994213,500,300,150,20.0,2.0,0.5
0.255263,0.995252,0.001072,0.991682,0.99719,500,300,150,20.0,2.0,0.5
0.152632,0.997729,0.001545,0.992253,0.999051,500,300,150,20.0,2.0,0.5
0.05,0.999883,1.6e-05,0.999813,0.999913,500,300,150,20.0,2.0,0.5
