eta,phi_promedio,phi_std,phi_min,phi_max,pasos_termal,pasos_medicion,N,L,v
2.0,0.842652,0.011724,0.810617,0.870721,500,300,150,20.0,0.5
1.897368,0.857468,0.010082,0.827789,0.883423,500,300,150,20.0,0.5
1.794737,0.872907,0.008984,0.842771,0.900831,500,300,150,20.0,0.5
1.692105,0.885449,0.008095,0.860306,0.90989,500,300,150,20.0,0.5
1.589474,0.898859,0.007068,0.878606,0.918397,500,300,150,20.0,0.5
1.486842,0.911265,0.006138,0.896411,0.926976,500,300,150,20.0,0.5
1.384211,0.922392,0.005455,0.907588,0.935888,500,300,150,20.0,0.5
1.281579,0.933731,0.004634,0.917886,0.947637,500,300,150,20.0,0.5
1.178947,0.943579,0.004162,0.932134,0.953056,500,300,150,20.0,0.5
1.076316,0.95302,0.00343,0.94331,0.963263,500,300,150,20.0,0.5
0.973684,0.960978,0.00288,0.953389,0.969815,500,300,150,20.0,0.5
0.871053,0.968989,0.002196,0.963628,0.974655,500,300,150,20.0,0.5
0.768421,0.975746,0.00174,0.970976,0.980543,500,300,150,20.0,0.5
0.665789,0.981676,0.001399,0.976212,0.98488,500,300,150,20.0,0.5
0.563158,0.986806,0.000953,0.983906,0.988978,500,300,150,20.0,0.5
0.460526,0.9913,0.00063,0.989475,0.992954,500,300,150,20.0,0.5
0.357895,0.994707,0.000412,0.993434,0.995705,500,300,150,20.0,0.5
0.255263,0.997314,0.000214,0.996678,0.997913,500,300,150,20.0,0.5
0.152632,0.999034,7.2e-05,0.998805,0.999277,500,300,150,20.0,0.5
0.05,0.999897,7e-06,0.999877,0.999916,500,300,150,20.0,0.5
