eta,paso,particula_id,x,y,vx,vy,theta,omega
2.0,4500,0,8.322693,9.033867,-0.734983,-1.293792,0.004467,0.329759
2.0,4500,1,8.3697,9.276633,-2.008925,0.022113,-0.028977,0.146043
2.0,4500,2,5.01519,6.115486,1.01118,-0.576886,0.099805,-0.170371
2.0,4500,3,3.54149,6.838687,-3.332326,2.112654,0.123669,-0.250976
2.0,4500,4,5.564714,7.180995,-0.055871,-3.351611,0.048966,0.169803
2.0,4500,5,4.892827,6.384948,2.053711,3.562684,0.101563,-0.103443
2.0,4500,6,4.769045,6.396046,0.710105,2.884268,0.116347,0.086846
2.0,4500,7,4.802167,6.611251,3.611724,-3.33895,0.067138,-0.125628
2.0,4500,8,3.463755,6.865444,0.612446,-1.02133,0.095598,0.016598
2.0,4500,9,5.722322,5.957879,0.080113,-1.746037,0.10318,-0.007407
2.0,4500,10,9.227151,9.056418,-1.048972,1.305449,-0.094821,0.127328
2.0,4500,11,5.45865,7.678682,1.162416,1.415799,0.099825,-0.378962
2.0,4500,12,8.861924,10.249275,0.567728,-1.204431,-0.041079,-0.20953
2.0,4500,13,4.437353,8.139683,-1.44796,2.885627,0.087756,0.137829
2.0,4500,14,5.401823,7.794189,0.79494,-0.559977,0.077001,0.008719
2.0,4500,15,4.488146,7.11858,6.528588,1.622884,0.118505,-0.080529
2.0,4500,16,4.217312,7.676215,2.354363,4.998448,0.105239,0.274637
2.0,4500,17,9.392793,7.911525,-1.156948,0.435016,-0.007281,0.198135
2.0,4500,18,4.127128,7.18433,0.344329,3.069237,0.117758,0.040217
2.0,4500,19,4.605063,6.266563,3.881264,2.425677,0.046391,0.1063
2.0,4500,20,6.176531,8.708397,-1.199173,0.389598,0.075221,0.036424
2.0,4500,21,4.958668,7.99746,-2.020745,1.421615,0.085408,0.051909
2.0,4500,22,9.938914,10.396628,0.045665,-1.704039,-0.063495,0.014912
2.0,4500,23,9.457033,8.564766,0.610935,0.463652,-0.038078,0.248435
2.0,4500,24,4.282255,6.683592,-2.364015,-1.820672,0.066763,-0.163213
2.0,4500,25,4.927873,6.689525,-2.343136,0.15442,0.081542,-0.276391
2.0,4500,26,4.660992,8.21671,3.485921,1.259708,0.099816,0.053634
2.0,4500,27,5.499228,7.06607,0.126494,0.6454,0.096464,-0.019632
2.0,4500,28,6.204512,7.981438,0.015961,2.091032,0.060503,-0.031954
2.0,4500,29,5.621795,7.725024,3.058999,-1.618286,0.100741,-0.171928
2.0,4500,30,3.892201,6.043883,0.60131,-0.087094,0.082211,-0.222551
2.0,4500,31,6.034436,7.095441,-0.105392,1.445301,0.043547,-0.075352
2.0,4500,32,9.254314,9.489024,-2.301877,-0.661668,-0.018855,0.211426
2.0,4500,33,3.922328,7.547584,2.937478,3.142177,0.088295,-0.095604
2.0,4500,34,8.351304,9.455268,-0.815429,-0.046222,0.018504,0.083491
2.0,4500,35,4.579638,6.575685,-0.347097,-3.153828,0.075698,0.158453
2.0,4500,36,5.893787,6.643668,4.054184,-1.917609,0.116866,0.077618
2.0,4500,37,9.985196,9.249762,-0.026342,0.337358,-0.084137,-0.04255
2.0,4500,38,5.252427,6.3377,1.198114,-2.807254,0.130367,0.026919
2.0,4500,39,4.791239,7.006288,1.854324,1.29938,0.105513,0.236405
2.0,4500,40,5.938216,6.408239,0.686616,2.347237,0.111497,0.086298
2.0,4500,41,5.833958,7.169179,1.294995,1.70465,0.099182,-0.230049
2.0,4500,42,4.270952,6.562223,2.015959,-0.259026,0.091974,-0.261259
2.0,4500,43,4.202117,6.149726,-2.481988,0.677988,0.093261,0.185033
2.0,4500,44,4.860596,7.748968,-1.702035,-3.76672,0.079837,-0.250662
2.0,4500,45,5.056667,6.534491,1.208306,4.596015,0.10938,-0.296803
2.0,4500,46,4.864549,7.471125,-2.381669,0.727735,0.071146,0.034346
2.0,4500,47,8.089697,8.461537,-0.48782,-1.291805,0.022772,0.06139
2.0,4500,48,8.469143,9.602673,1.654132,-0.41979,-0.034415,0.10758
2.0,4500,49,5.593557,7.148424,4.443968,1.364084,0.095027,-0.172864
2.0,4500,50,3.871282,7.452572,2.624596,-0.384264,0.069896,0.290585
2.0,4500,51,9.221051,8.515261,2.544084,-0.306937,0.075983,-0.186597
2.0,4500,52,4.012747,6.559853,3.647368,-1.638908,0.075669,0.29242
2.0,4500,53,5.462401,7.446976,0.356417,-0.242454,0.059841,0.090685
2.0,4500,54,10.545122,8.360497,2.055184,-1.177845,-0.019069,0.236895
2.0,4500,55,7.224817,8.234339,-2.502257,-0.63647,0.021966,0.07602
2.0,4500,56,4.902857,6.14907,1.722477,0.020019,0.083522,-0.095056
2.0,4500,57,3.912417,8.079179,0.599404,-0.17495,0.059309,-0.130705
2.0,4500,58,10.171143,8.575969,-0.330644,0.538549,-0.007783,0.106823
2.0,4500,59,5.622156,6.385136,-0.818568,0.528119,0.117422,-0.140149
2.0,4500,60,3.823568,6.229277,2.928185,2.439636,0.088741,0.074368
2.0,4500,61,5.310893,6.41818,3.591536,-4.029259,0.129454,0.092486
2.0,4500,62,8.471334,8.821188,0.587686,-0.695926,-0.024984,0.233229
2.0,4500,63,3.84815,7.11226,1.711825,-0.207829,0.078229,0.163594
2.0,4500,64,9.321281,9.416972,2.172042,-0.94538,-0.051733,-0.030312
2.0,4500,65,4.412694,7.598178,-0.520797,3.473137,0.136396,0.148412
2.0,4500,66,4.565802,8.041962,1.146827,0.768087,0.116498,-0.174296
2.0,4500,67,9.773142,8.509684,1.384085,0.361221,-0.068809,-0.070274
2.0,4500,68,6.315313,7.63045,-1.378525,-0.150714,0.096331,0.103362
2.0,4500,69,10.017145,9.610575,-2.069575,-0.926091,-0.060547,0.155691
2.0,4500,70,7.674178,8.344412,-1.027857,0.449295,0.022355,0.107415
2.0,4500,71,4.801895,6.970641,-0.708792,0.179961,0.117677,0.034187
2.0,4500,72,4.83968,6.930611,2.714781,-1.322884,0.103564,-0.136926
2.0,4500,73,4.911918,7.972443,0.37765,1.513716,0.084135,-0.13632
2.0,4500,74,9.276116,8.195835,-1.808034,-2.153317,-0.044925,0.187051
2.0,4500,75,8.817566,7.587808,0.138285,0.170056,0.004263,0.226326
2.0,4500,76,8.587653,9.497942,2.114416,0.072809,0.008501,-0.073691
2.0,4500,77,4.626106,6.725479,4.370452,-0.891978,0.088069,-0.194741
2.0,4500,78,4.788698,5.603976,-0.833012,1.246737,0.131925,-0.220686
2.0,4500,79,5.537845,7.097377,-0.09912,2.860447,0.101427,-0.134612
2.0,4500,80,4.692921,7.110372,0.339558,0.212345,0.124317,-0.01323
2.0,4500,81,7.737441,7.704119,-0.975778,-1.992492,0.058866,0.148278
2.0,4500,82,4.614613,6.106349,0.567436,-4.024021,0.103716,0.169806
2.0,4500,83,5.383274,7.217892,2.626468,2.124406,0.075549,-0.180636
2.0,4500,84,4.836626,6.047382,-0.468026,-3.654554,0.061322,-0.164343
2.0,4500,85,10.046328,8.923703,-1.916054,-1.49548,-0.081987,-0.181839
2.0,4500,86,9.015018,9.49581,1.153798,-0.284674,0.003016,0.173923
2.0,4500,87,8.903769,8.539237,-1.14002,-1.389772,-0.039414,0.316476
2.0,4500,88,9.846054,9.245272,-1.94034,0.260135,-0.022005,0.013054
2.0,4500,89,3.560522,7.098965,1.365601,1.385356,0.083496,0.171626
2.0,4500,90,5.146175,6.896626,-1.874993,0.853599,0.100763,-0.151177
2.0,4500,91,4.20353,7.449161,1.414921,-3.866783,0.115164,-0.029755
2.0,4500,92,4.711749,6.706066,-0.542345,-3.384709,0.09428,-0.066771
2.0,4500,93,10.110733,9.289947,2.345859,1.180158,-0.075938,0.185816
2.0,4500,94,4.812053,7.391642,1.564116,-2.534764,0.132287,-0.036123
2.0,4500,95,9.058866,9.247291,0.575284,1.218797,-0.013422,0.054969
2.0,4500,96,4.09365,7.425618,5.52052,-0.967401,0.051246,-0.081313
2.0,4500,97,4.202839,6.735341,0.474992,1.424165,0.125072,0.11003
2.0,4500,98,6.031217,7.443508,-1.40093,-2.208507,0.038514,0.006851
2.0,4500,99,3.251373,7.377811,1.086152,-1.15903,0.132957,0.026501
2.0,4500,100,5.595197,6.664334,1.545688,-0.871931,0.086903,-0.003556
2.0,4500,101,3.468501,7.373634,-2.243337,-2.658301,0.057709,0.093509
2.0,4500,102,3.31835,7.558439,0.225192,0.417296,0.044929,-0.04196
2.0,4500,103,9.219757,8.959203,0.651439,0.814307,0.014597,-0.035357
2.0,4500,104,5.849783,7.905371,2.252356,0.241959,0.095117,0.209991
2.0,4500,105,4.71164,7.274189,-1.170159,1.666932,0.078151,0.092598
2.0,4500,106,4.161975,6.853604,-1.730306,-1.770061,0.068172,0.165488
2.0,4500,107,3.816656,7.066014,0.657928,-1.811394,0.177004,-0.151619
2.0,4500,108,5.902306,6.32329,-1.083378,-1.96943,0.051551,0.178244
2.0,4500,109,10.399559,9.309567,0.312744,-1.383148,-0.067522,0.178272
2.0,4500,110,9.551158,7.763613,0.840568,-0.116815,0.006485,0.006464
2.0,4500,111,4.033903,5.616325,1.98097,0.504948,0.125178,-0.194859
2.0,4500,112,8.857618,8.620484,-1.364076,1.442954,0.008989,-0.096353
2.0,4500,113,4.04411,7.088258,-1.682599,1.53173,0.149135,-0.148322
2.0,4500,114,5.208969,5.847152,-0.699854,3.292328,0.103957,0.029242
2.0,4500,115,5.058873,6.406182,-2.656853,-3.455665,0.109132,-0.141245
2.0,4500,116,5.008677,7.232474,0.70869,2.34534,0.08746,-0.040095
2.0,4500,117,4.649395,7.467532,-0.835165,2.003048,0.140561,-0.195261
2.0,4500,118,5.984786,5.786071,-1.011582,3.962567,0.171826,-0.238526
2.0,4500,119,3.511046,7.250698,-1.331514,2.667215,0.088256,-0.133236
2.0,4500,120,10.581157,8.59107,-1.026766,0.752274,-0.042876,0.204365
2.0,4500,121,9.068309,8.593093,-1.212752,0.433508,-0.035449,-0.105742
