eta,paso,particula_id,x,y,vx,vy,theta,omega
2.0,4500,0,3.83239,13.962406,-0.991319,0.061918,2.938638,0.223517
2.0,4500,1,7.759154,15.264736,-0.964636,0.230194,2.928046,0.142751
2.0,4500,2,11.529957,17.462997,-0.971941,0.163502,2.825541,0.146428
2.0,4500,3,9.568812,7.949452,-0.989595,0.011903,-3.139547,0.308786
2.0,4500,4,5.688302,5.57802,-0.984438,0.008461,-2.854059,0.354597
2.0,4500,5,9.850686,9.606242,-0.992959,0.061349,3.140663,-0.251571
2.0,4500,6,7.688194,1.445659,-0.997845,-0.041888,-3.081258,-0.155206
2.0,4500,7,4.396184,14.397737,-0.975496,0.164735,-3.097398,0.364681
2.0,4500,8,18.637859,11.20164,-0.960329,0.228931,2.789212,0.110221
2.0,4500,9,2.288084,13.313134,-0.966879,0.165472,2.952716,0.491765
2.0,4500,10,1.487966,15.07562,-0.990917,-0.003065,-3.028644,0.264627
2.0,4500,11,15.263012,6.601245,-0.98304,0.096737,2.812146,-0.309044
2.0,4500,12,8.297297,17.454659,-0.992098,-0.032727,3.132735,-0.162122
2.0,4500,13,4.430208,13.945197,-0.988584,0.009723,3.090679,0.296672
2.0,4500,14,3.327386,15.969418,-0.981629,-0.066238,3.082314,-0.221375
2.0,4500,15,4.916042,2.553883,-0.96918,0.146145,2.794012,0.017415
2.0,4500,16,14.24237,19.880156,-0.99212,0.028552,-3.096699,0.195935
2.0,4500,17,19.021542,10.55794,-0.998595,-0.007187,3.101244,-0.083954
2.0,4500,18,9.342429,13.13348,-0.960328,0.189701,2.787534,0.164035
2.0,4500,19,1.535294,8.114244,-0.98364,-0.13002,3.124527,-0.60132
2.0,4500,20,13.171534,10.25126,-0.992923,-0.022758,-2.95413,0.354005
2.0,4500,21,6.641616,15.328348,-0.996404,0.040913,3.131523,0.066197
2.0,4500,22,18.244536,6.171655,-0.973739,0.168994,-3.109425,0.831841
2.0,4500,23,15.904725,4.502025,-0.983033,-0.106495,3.111447,-0.617163
2.0,4500,24,18.458391,11.174253,-0.997783,0.017662,-3.089241,0.084172
2.0,4500,25,19.627054,19.259199,-0.962409,0.143571,-2.992453,0.150338
2.0,4500,26,9.779591,6.134212,-0.97718,0.16037,2.906854,0.030566
2.0,4500,27,16.064773,3.716509,-0.986691,0.096639,3.017061,0.110531
2.0,4500,28,12.59605,16.830294,-0.994876,-0.062138,-3.083297,-0.017392
2.0,4500,29,12.712117,11.536733,-0.991762,0.04611,-3.114427,-0.033763
2.0,4500,30,4.778487,14.453727,-0.989677,0.03368,-3.088045,0.656881
2.0,4500,31,2.723578,12.083049,-0.990811,-0.097298,-2.927658,0.061812
2.0,4500,32,7.907004,19.685834,-0.960983,0.001961,2.780876,0.042778
2.0,4500,33,4.299096,19.058506,-0.952251,-0.23547,-2.904491,-0.514924
2.0,4500,34,18.420047,2.039378,-0.990861,0.039961,-3.06199,0.363252
2.0,4500,35,11.747128,17.150303,-0.960061,-0.204517,3.117086,-0.682672
2.0,4500,36,11.960138,1.817955,-0.991783,0.106931,2.981887,-0.004524
2.0,4500,37,13.356563,2.140544,-0.956574,-0.149426,-2.741167,-0.41581
2.0,4500,38,9.540911,10.400275,-0.99318,0.094886,3.099792,-0.133472
2.0,4500,39,17.822678,0.117931,-0.96234,0.195719,2.823764,0.74041
2.0,4500,40,12.383652,17.337906,-0.977093,-0.150477,3.120354,-0.319119
2.0,4500,41,19.67032,16.472333,-0.995112,-0.048977,3.098403,-0.115989
2.0,4500,42,3.44819,3.72077,-0.990651,0.083006,2.990966,0.227791
2.0,4500,43,0.987567,17.733631,-0.97432,0.194075,2.849018,0.522839
2.0,4500,44,16.973874,14.039115,-0.998311,-0.02998,-3.089364,0.131332
2.0,4500,45,2.813564,18.74384,-0.996802,0.027594,3.061651,-0.078986
2.0,4500,46,17.436386,7.979228,-0.993582,-0.084861,-3.078598,-0.272932
2.0,4500,47,18.27692,0.888512,-0.96427,0.019537,-3.015378,-0.123571
2.0,4500,48,1.517862,15.943433,-0.980691,-0.13668,3.031847,-0.782823
2.0,4500,49,1.901502,10.167669,-0.990854,0.098718,2.97495,-0.212915
2.0,4500,50,14.16649,10.954546,-0.991078,0.029171,-3.092753,0.175064
2.0,4500,51,9.747013,15.15903,-0.985887,0.058911,-3.121893,0.623002
2.0,4500,52,3.321989,0.941915,-0.996876,0.024872,3.037255,-0.247985
2.0,4500,53,18.308787,1.199374,-0.976013,0.095585,3.023312,0.566918
2.0,4500,54,14.660974,5.784019,-0.991994,0.077601,3.127991,-0.014477
2.0,4500,55,5.49056,2.674977,-0.981265,0.174172,2.897177,0.324095
2.0,4500,56,11.678088,16.346751,-0.974361,0.02668,2.857497,-0.129721
2.0,4500,57,2.495881,17.959997,-0.972808,0.13115,2.845164,0.518076
2.0,4500,58,8.891376,0.02995,-0.995327,-0.029832,2.940656,-0.630831
2.0,4500,59,14.075498,13.774671,-0.989383,-0.021624,3.069523,-0.226907
2.0,4500,60,2.759151,9.247477,-0.995567,-0.049086,-3.084418,-0.333468
2.0,4500,61,19.52712,5.771176,-0.9806,-0.160217,-2.924987,0.003073
2.0,4500,62,5.109905,12.797148,-0.942665,-0.031048,2.799885,-0.266326
2.0,4500,63,7.347375,19.979611,-0.97778,0.118921,2.797753,0.249168
2.0,4500,64,10.480554,17.299073,-0.99464,-0.043454,-2.997874,0.144456
2.0,4500,65,9.915678,18.441985,-0.991735,0.052096,-3.037227,0.276542
2.0,4500,66,13.656662,13.522115,-0.997716,0.033281,3.088894,-0.117162
2.0,4500,67,15.504226,5.991097,-0.993061,0.017542,3.04012,-0.079211
2.0,4500,68,4.82725,7.507037,-0.992528,-0.099146,-3.022868,-0.112494
2.0,4500,69,8.262647,5.769709,-0.981977,-0.026719,-3.106939,-0.323257
2.0,4500,70,4.965689,17.090832,-0.958398,-0.112952,-2.929509,-0.672711
2.0,4500,71,11.03109,5.649266,-0.970004,0.13977,2.997772,0.184212
2.0,4500,72,13.615883,7.906681,-0.978721,0.052052,2.790725,-0.155354
2.0,4500,73,10.297368,7.795239,-0.989102,0.089473,3.019138,-0.137043
2.0,4500,74,0.453248,1.281974,-0.996365,-0.021708,3.106072,-0.827501
2.0,4500,75,4.074576,11.42403,-0.973598,0.097011,2.942473,0.322625
2.0,4500,76,13.093985,12.101792,-0.975459,0.099671,2.777503,-0.292104
2.0,4500,77,13.9299,13.737206,-0.950289,-0.23419,-2.850473,-0.361427
2.0,4500,78,10.093858,13.885356,-0.98957,-0.014896,2.899195,-0.491952
2.0,4500,79,10.971976,0.022249,-0.95851,0.023302,-2.875466,-0.019454
2.0,4500,80,15.539571,5.656506,-0.9805,-0.001797,-2.874796,0.301843
2.0,4500,81,8.98059,9.623406,-0.990038,-0.042693,3.130436,0.010312
2.0,4500,82,18.480733,10.060754,-0.993428,0.078201,3.11815,0.104837
2.0,4500,83,12.446904,16.278217,-0.996793,-0.017072,3.05347,-0.159029
2.0,4500,84,4.165914,14.628981,-0.968352,0.052413,2.874151,0.041089
2.0,4500,85,4.82495,10.609119,-0.995185,-0.013075,3.02558,-0.844041
2.0,4500,86,12.565609,9.856138,-0.971288,0.131045,2.804591,-0.177362
2.0,4500,87,17.291719,11.87217,-0.996883,0.024918,3.10085,0.297659
2.0,4500,88,19.562388,9.603824,-0.98342,-0.023941,2.955211,-0.463448
2.0,4500,89,15.395583,7.568085,-0.967078,-0.133923,-2.708684,-0.265723
2.0,4500,90,10.377618,5.127057,-0.994095,0.039947,2.972975,0.041633
2.0,4500,91,11.094187,10.39347,-0.990334,-0.032235,2.97374,-0.383714
2.0,4500,92,8.567701,15.384603,-0.986738,-0.033912,2.897999,-0.406691
2.0,4500,93,14.987016,11.162079,-0.988511,0.088774,3.048221,-0.442971
2.0,4500,94,2.021455,12.416191,-0.990775,0.035304,3.044651,0.165372
2.0,4500,95,18.520379,10.477874,-0.985285,-0.114106,-3.008416,-0.358468
2.0,4500,96,6.233416,19.770738,-0.994005,-0.019639,3.077029,-0.199766
