eta,paso,particula_id,x,y,theta
2.0,800,0,17.666199,18.186603,0.063741
2.0,800,1,17.777775,1.756189,-0.596358
2.0,800,2,11.843998,12.866227,1.676056
2.0,800,3,6.673914,3.551934,0.777362
2.0,800,4,16.987509,5.346179,1.015899
2.0,800,5,7.960759,17.024789,1.7243
2.0,800,6,18.431861,8.999764,0.321924
2.0,800,7,9.726876,10.897112,2.547581
2.0,800,8,16.675053,9.126933,0.5145
2.0,800,9,9.370535,18.190726,1.286232
2.0,800,10,11.382621,8.57223,1.530461
2.0,800,11,19.415779,3.557676,0.820132
2.0,800,12,9.214783,6.122951,1.899588
2.0,800,13,0.116293,2.875755,2.757276
2.0,800,14,16.005665,15.940634,1.727697
2.0,800,15,10.588073,8.968943,0.235994
2.0,800,16,15.366209,8.50168,0.947731
2.0,800,17,18.285912,7.745842,1.757341
2.0,800,18,9.414045,1.639292,1.460807
2.0,800,19,6.551322,2.448389,1.162639
2.0,800,20,11.446635,1.964181,-0.303191
2.0,800,21,10.390724,9.661754,1.145716
2.0,800,22,11.236571,7.172688,0.65845
2.0,800,23,9.100149,3.205751,0.195973
2.0,800,24,9.000923,8.416016,1.189222
2.0,800,25,14.06154,9.69211,1.835528
2.0,800,26,10.736627,11.97182,1.565476
2.0,800,27,13.053593,10.007934,2.335202
2.0,800,28,10.527104,14.24044,2.505808
2.0,800,29,12.400787,10.303499,1.416203
2.0,800,30,10.359677,8.858389,0.475581
2.0,800,31,14.775639,18.840361,1.819641
2.0,800,32,4.50708,5.854094,1.837594
2.0,800,33,8.60651,8.87974,1.0122
2.0,800,34,9.987487,18.713822,2.121071
2.0,800,35,10.082814,1.086548,2.156105
2.0,800,36,7.52259,4.985811,-0.1772
2.0,800,37,8.777238,10.809356,1.942481
2.0,800,38,8.569635,19.009688,1.583358
2.0,800,39,17.579285,11.240813,1.58244
2.0,800,40,0.950249,6.996763,-0.401968
2.0,800,41,9.506786,4.027924,1.11239
2.0,800,42,10.192354,3.256102,1.409456
2.0,800,43,11.65633,11.82642,1.132993
2.0,800,44,8.830783,19.672807,1.784557
2.0,800,45,14.063612,9.244219,1.449486
2.0,800,46,14.026926,10.072577,1.400885
2.0,800,47,10.737276,7.931011,1.704438
2.0,800,48,14.708423,10.011047,0.786944
2.0,800,49,4.593386,9.565424,1.839997
2.0,800,50,9.336226,13.06393,2.161708
2.0,800,51,12.449681,9.851802,2.09646
2.0,800,52,11.644472,9.181177,1.338199
2.0,800,53,7.596259,5.437132,0.497291
2.0,800,54,11.082812,3.602145,1.612148
2.0,800,55,13.812853,8.0591,0.412193
2.0,800,56,16.29513,9.945713,0.410512
2.0,800,57,17.632111,11.781464,-2.286226
2.0,800,58,1.062539,9.9024,-1.231207
2.0,800,59,11.267328,8.585585,1.419355
2.0,800,60,11.350545,7.010853,0.734329
2.0,800,61,9.984513,7.384525,1.512552
2.0,800,62,2.111888,4.205208,1.703228
2.0,800,63,17.99129,18.512949,1.421673
2.0,800,64,11.881875,0.260362,1.944085
2.0,800,65,10.772605,8.335811,1.663032
2.0,800,66,7.266832,16.642172,2.530683
2.0,800,67,18.251077,7.51489,0.614231
2.0,800,68,16.590225,5.431941,-0.015468
2.0,800,69,8.305933,5.726293,0.20616
2.0,800,70,14.700909,9.153204,0.501597
2.0,800,71,5.654291,8.847383,2.041944
2.0,800,72,18.890066,12.147301,-1.289857
2.0,800,73,12.566269,3.136206,0.04347
2.0,800,74,5.459502,16.414513,3.181914
2.0,800,75,8.893646,2.359118,0.197861
2.0,800,76,8.920888,4.615383,1.332894
2.0,800,77,12.896334,5.067534,0.263377
2.0,800,78,10.941153,1.846135,0.528527
2.0,800,79,1.737338,5.535015,2.38599
2.0,800,80,11.495691,8.103823,1.33302
2.0,800,81,11.397965,5.011157,1.906735
2.0,800,82,12.268175,8.782127,2.332553
2.0,800,83,13.590382,13.285534,2.131841
2.0,800,84,10.94819,13.331134,1.188421
2.0,800,85,15.393307,10.695833,0.394623
2.0,800,86,4.901748,8.994011,2.487293
2.0,800,87,1.044674,0.350832,2.203787
2.0,800,88,12.332611,7.984102,1.890833
2.0,800,89,14.15822,13.747303,0.821628
2.0,800,90,17.578887,6.854662,0.078084
2.0,800,91,9.609589,18.350625,1.633479
2.0,800,92,13.074936,7.680983,1.545784
2.0,800,93,7.043193,15.752155,1.871839
2.0,800,94,11.521187,6.113117,1.64272
2.0,800,95,8.284776,3.548415,0.60462
2.0,800,96,6.221679,2.518952,1.877652
2.0,800,97,14.676303,11.826314,0.344802
2.0,800,98,4.511211,8.725874,2.427507
2.0,800,99,5.387262,10.569344,2.524515
2.0,800,100,13.021464,2.347156,1.760782
2.0,800,101,10.430955,4.497385,0.864687
2.0,800,102,1.068582,2.012713,2.20236
2.0,800,103,0.314033,4.128284,1.030475
2.0,800,104,7.153486,15.781664,1.618003
2.0,800,105,9.068899,18.666227,1.32931
2.0,800,106,8.06989,15.081329,2.415441
2.0,800,107,19.273296,1.945574,2.441163
2.0,800,108,9.627124,13.111689,1.910252
2.0,800,109,17.688109,10.189982,0.799888
2.0,800,110,7.118757,2.499702,0.258251
2.0,800,111,7.437649,0.516414,1.162277
2.0,800,112,11.170977,5.07643,1.197321
2.0,800,113,14.302533,13.371962,1.150234
2.0,800,114,13.519585,0.042134,2.042405
2.0,800,115,11.160817,12.851203,2.38074
2.0,800,116,9.077931,8.057419,1.632449
2.0,800,117,9.222551,19.009173,1.909484
2.0,800,118,9.533941,5.383346,1.946193
2.0,800,119,13.517998,5.846893,0.288118
2.0,800,120,7.031118,15.675488,3.404865
2.0,800,121,9.72103,5.739456,1.212394
2.0,800,122,18.054801,9.517237,1.052353
2.0,800,123,11.232244,9.890646,2.244856
2.0,800,124,9.788601,13.692192,1.915379
2.0,800,125,14.148731,4.139122,-0.174176
2.0,800,126,13.64552,0.722812,1.704899
2.0,800,127,10.947069,13.691585,2.108984
2.0,800,128,17.509789,9.156992,0.443268
2.0,800,129,18.702531,4.243773,0.691053
2.0,800,130,18.252646,3.297035,0.905136
2.0,800,131,13.095203,2.485965,0.830613
2.0,800,132,14.676895,2.14117,2.233277
2.0,800,133,10.573536,6.94931,1.552022
2.0,800,134,13.216712,0.164725,1.757293
2.0,800,135,7.928853,4.594645,0.140137
2.0,800,136,18.604509,7.584654,1.090199
2.0,800,137,8.753422,6.089521,1.546507
2.0,800,138,7.905702,0.505618,1.059416
2.0,800,139,16.472648,10.0923,1.860836
2.0,800,140,14.974313,19.907174,2.707845
2.0,800,141,10.995971,6.880206,1.310573
2.0,800,142,12.595036,6.627302,0.291378
2.0,800,143,14.446995,5.787962,0.140987
2.0,800,144,9.075607,5.435292,1.311958
2.0,800,145,11.230663,10.81461,2.45369
2.0,800,146,8.648598,3.272799,0.110214
2.0,800,147,14.061266,2.213983,1.218308
2.0,800,148,12.12858,3.755465,1.134059
2.0,800,149,12.221847,12.844842,0.912013
1.897368,800,0,18.420016,16.349597,0.068948
1.897368,800,1,14.408447,3.416194,-0.727279
1.897368,800,2,7.350788,11.374971,1.110616
1.897368,800,3,2.478319,18.939283,-0.365372
1.897368,800,4,11.397276,4.507905,1.23225
1.897368,800,5,10.181919,13.714634,-1.389005
1.897368,800,6,19.744117,2.402276,-0.583753
1.897368,800,7,9.80856,18.947387,0.852227
1.897368,800,8,13.97952,2.501719,0.336944
1.897368,800,9,0.254543,17.930746,0.606409
1.897368,800,10,17.278718,2.09121,0.724714
1.897368,800,11,12.808233,12.265823,0.263428
1.897368,800,12,16.47449,19.983179,-0.045823
1.897368,800,13,8.593178,19.921533,1.732449
1.897368,800,14,0.538618,16.851139,-0.235341
1.897368,800,15,12.044063,5.917887,1.128256
1.897368,800,16,14.242539,9.377841,0.511595
1.897368,800,17,18.216283,18.257978,-0.493858
1.897368,800,18,14.712027,4.468893,-0.240042
1.897368,800,19,12.468396,7.635605,0.592124
1.897368,800,20,12.255903,7.55751,1.248353
1.897368,800,21,16.411182,17.265739,-0.236038
1.897368,800,22,1.425973,16.851293,0.384522
1.897368,800,23,13.045865,2.524775,-0.271939
1.897368,800,24,10.175526,10.52869,0.452975
1.897368,800,25,13.107991,4.197621,0.529629
1.897368,800,26,13.762785,9.358973,0.459448
1.897368,800,27,12.013945,2.03383,1.123747
1.897368,800,28,10.378876,9.098628,0.84288
1.897368,800,29,12.665243,13.034216,0.701145
1.897368,800,30,18.434321,0.249855,-0.355092
1.897368,800,31,1.713686,4.908132,1.588046
1.897368,800,32,14.847935,5.928859,-0.42092
1.897368,800,33,17.384009,0.858777,0.279872
