eta,paso,particula_id,x,y,theta
2.0,800,0,10.451186,13.386692,-0.314966
2.0,800,1,0.779944,6.250858,0.398126
2.0,800,2,19.215115,8.369873,0.571768
2.0,800,3,15.442498,13.947331,-0.442317
2.0,800,4,3.888792,8.308028,0.160213
2.0,800,5,0.570943,18.026527,0.717926
2.0,800,6,3.106248,14.309745,0.511358
2.0,800,7,0.147756,5.539306,-0.215026
2.0,800,8,17.986957,8.041902,1.264683
2.0,800,9,0.642641,13.50004,0.838955
2.0,800,10,8.269035,13.457354,0.624753
2.0,800,11,3.623114,16.530695,-0.47151
2.0,800,12,5.340075,9.989616,0.44965
2.0,800,13,5.566454,18.369191,0.511525
2.0,800,14,2.723807,11.630184,0.930645
2.0,800,15,17.840004,18.850777,-0.492262
2.0,800,16,12.724664,4.118614,0.750314
2.0,800,17,8.867447,5.421377,1.160879
2.0,800,18,7.929636,1.173707,1.356242
2.0,800,19,17.056277,7.123945,-0.386012
2.0,800,20,8.520761,19.865324,1.103948
2.0,800,21,2.595583,11.894898,1.038585
2.0,800,22,12.34222,12.516298,1.408487
2.0,800,23,18.775767,4.97522,-0.454242
2.0,800,24,19.484535,17.797623,0.863041
2.0,800,25,16.04792,6.106626,0.903331
2.0,800,26,19.235215,7.14153,0.713919
2.0,800,27,7.495787,10.657761,0.325751
2.0,800,28,17.267223,1.412693,0.489811
2.0,800,29,19.45053,18.554048,-0.293513
2.0,800,30,17.805793,11.743238,-0.006156
2.0,800,31,3.416173,1.413783,0.61629
2.0,800,32,19.041531,17.956459,0.572529
2.0,800,33,4.101524,2.744375,0.028857
2.0,800,34,5.998069,11.050456,0.048492
2.0,800,35,8.381897,3.869385,0.185317
2.0,800,36,19.663816,5.69155,0.487952
2.0,800,37,16.749852,8.923859,0.336887
2.0,800,38,2.713826,16.421866,-0.061416
2.0,800,39,9.713078,9.731358,0.872079
2.0,800,40,15.02816,18.033083,-0.361923
2.0,800,41,14.833531,9.38523,-0.071769
2.0,800,42,12.259642,16.076743,-0.423375
2.0,800,43,4.869788,6.107707,-0.258082
2.0,800,44,5.861762,12.076157,1.375912
2.0,800,45,4.890555,16.12049,-0.055409
2.0,800,46,9.406874,2.310543,0.278314
2.0,800,47,14.287647,9.449578,0.881854
2.0,800,48,5.749079,8.45065,0.595184
2.0,800,49,5.428684,10.747708,-0.095829
